日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-07-24,'600000,浦发银行,10.42,10.8,10.4,10.78,10.84,-0.42,-3.8745,0.2593,72886391,769923511.0,3.05849111751e+11,2.92841653841e+11
2020-07-23,'600000,XD浦发银,10.84,10.99,10.61,10.99,11.02,-0.18,-1.6334,0.3089,86806896,937319747.0,3.18177003011e+11,3.04645252173e+11
2020-07-22,'600000,浦发银行,11.62,11.75,11.5,11.55,11.54,0.08,0.6932,0.3512,98687637,1147395851.0,3.41071658209e+11,3.26566220503e+11
2020-07-21,'600000,浦发银行,11.54,11.61,11.4,11.59,11.52,0.02,0.1736,0.1957,55004587,632576750.0,3.38723488445e+11,3.24317916059e+11
2020-07-20,'600000,浦发银行,11.52,11.57,11.27,11.32,11.27,0.25,2.2183,0.2803,78766518,901216619.0,3.38136446004e+11,3.23755839948e+11
2020-07-17,'600000,浦发银行,11.27,11.39,11.17,11.37,11.2,0.07,0.625,0.2442,68639480,771657319.0,3.30798415492e+11,3.1672988856e+11
2020-07-16,'600000,浦发银行,11.2,11.48,11.2,11.25,11.18,0.02,0.1789,0.3438,96614162,1094090004.0,3.28743766949e+11,3.14762622171e+11
2020-07-15,'600000,浦发银行,11.18,11.47,11.14,11.47,11.38,-0.2,-1.7575,0.3289,92438310,1042128861.0,3.28156604446e+11,3.14200425998e+11
2020-07-14,'600000,浦发银行,11.38,11.69,11.33,11.61,11.66,-0.28,-2.4014,0.2845,79944260,919482272.0,3.34027026708e+11,3.19821184961e+11
2020-07-13,'600000,浦发银行,11.66,11.85,11.56,11.6,11.6,0.06,0.5172,0.3436,96564333,1128297577.0,3.42245617875e+11,3.27690247508e+11
2020-07-10,'600000,浦发银行,11.6,12.09,11.55,11.98,11.99,-0.39,-3.2527,0.2797,78611864,925839420.0,3.40484491196e+11,3.26004019819e+11
2020-07-09,'600000,浦发银行,11.99,12.26,11.94,12.26,12.14,-0.15,-1.2356,0.3249,91311738,1101713242.0,3.51931814607e+11,3.36964499796e+11
2020-07-08,'600000,浦发银行,12.14,12.44,12.03,12.17,12.11,0.03,0.2477,0.3732,104879230,1282339816.0,3.56334631303e+11,3.41180069018e+11
2020-07-07,'600000,浦发银行,12.11,12.69,12.1,12.45,12.2,-0.09,-0.7377,0.4678,131469759,1621839646.0,3.55454067964e+11,3.40336955173e+11
2020-07-06,'600000,浦发银行,12.2,12.31,11.29,11.3,11.19,1.01,9.0259,0.5322,149558001,1776417981.0,3.58095757982e+11,3.42866296706e+11
2020-07-03,'600000,浦发银行,11.19,11.26,11.02,11.08,11.05,0.14,1.267,0.2926,82238477,916157920.0,3.28450125559e+11,3.14481463946e+11
2020-07-02,'600000,浦发银行,11.05,11.05,10.7,10.73,10.74,0.31,2.8864,0.2169,60951268,663308323.0,3.24340488387e+11,3.10546591084e+11
2020-07-01,'600000,浦发银行,10.74,10.76,10.55,10.59,10.58,0.16,1.5123,0.1306,36690710,390832225.0,3.15241343464e+11,3.01834424275e+11
2020-06-30,'600000,浦发银行,10.58,10.64,10.54,10.59,10.57,0.01,0.0946,0.0814,22886764,242601910.0,3.105450106e+11,2.97337822051e+11
2020-06-29,'600000,浦发银行,10.57,10.73,10.49,10.63,10.6,-0.03,-0.283,0.0992,27875619,295223647.0,3.10251489796e+11,2.97056784412e+11
